Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_Parsed,Year,Month,HomeTeam_encoded,AwayTeam_encoded,TotalGoals,GoalDifference,HomeAdvantage,Over2_5,Over1_5,Over3_5,BTTS,FTR_encoded
2005-2006,13/08/05,Aston Villa,Bolton,2,2,D,05-08-13,5,8,1,5,4,0,0,1,1,1,1,1
2005-2006,13/08/05,Everton,Man United,0,2,A,05-08-13,5,8,14,21,2,-2,0,0,1,0,0,2
2005-2006,13/08/05,Fulham,Birmingham,0,0,D,05-08-13,5,8,15,2,0,0,0,0,0,0,0,1
2005-2006,13/08/05,Man City,West Brom,0,0,D,05-08-13,5,8,20,35,0,0,0,0,0,0,0,1
2005-2006,13/08/05,Middlesbrough,Liverpool,0,0,D,05-08-13,5,8,22,19,0,0,0,0,0,0,0,1
2005-2006,13/08/05,Portsmouth,Tottenham,0,2,A,05-08-13,5,8,25,33,2,-2,0,0,1,0,0,2
2005-2006,13/08/05,Sunderland,Charlton,1,3,A,05-08-13,5,8,31,10,4,-2,0,1,1,1,1,2
2005-2006,13/08/05,West Ham,Blackburn,3,1,H,05-08-13,5,8,36,3,4,2,1,1,1,1,1,0
2005-2006,14/08/05,Arsenal,Newcastle,2,0,H,05-08-14,5,8,0,23,2,2,1,0,1,0,0,0
2005-2006,14/08/05,Wigan,Chelsea,0,1,A,05-08-14,5,8,37,11,1,-1,0,0,0,0,0,2
2005-2006,20/08/05,Birmingham,Man City,1,2,A,05-08-20,5,8,2,20,3,-1,0,1,1,0,1,2
2005-2006,20/08/05,Blackburn,Fulham,2,1,H,05-08-20,5,8,3,15,3,1,1,1,1,0,1,0
2005-2006,20/08/05,Charlton,Wigan,1,0,H,05-08-20,5,8,10,37,1,1,1,0,0,0,0,0
2005-2006,20/08/05,Liverpool,Sunderland,1,0,H,05-08-20,5,8,19,31,1,1,1,0,0,0,0,0
2005-2006,20/08/05,Man United,Aston Villa,1,0,H,05-08-20,5,8,21,1,1,1,1,0,0,0,0,0
2005-2006,20/08/05,Newcastle,West Ham,0,0,D,05-08-20,5,8,23,36,0,0,0,0,0,0,0,1
2005-2006,20/08/05,Tottenham,Middlesbrough,2,0,H,05-08-20,5,8,33,22,2,2,1,0,1,0,0,0
2005-2006,20/08/05,West Brom,Portsmouth,2,1,H,05-08-20,5,8,35,25,3,1,1,1,1,0,1,0
2005-2006,21/08/05,Bolton,Everton,0,1,A,05-08-21,5,8,5,14,1,-1,0,0,0,0,0,2
2005-2006,21/08/05,Chelsea,Arsenal,1,0,H,05-08-21,5,8,11,0,1,1,1,0,0,0,0,0
2005-2006,23/08/05,Birmingham,Middlesbrough,0,3,A,05-08-23,5,8,2,22,3,-3,0,1,1,0,0,2
2005-2006,23/08/05,Portsmouth,Aston Villa,1,1,D,05-08-23,5,8,25,1,2,0,0,0,1,0,1,1
2005-2006,23/08/05,Sunderland,Man City,1,2,A,05-08-23,5,8,31,20,3,-1,0,1,1,0,1,2
2005-2006,24/08/05,Arsenal,Fulham,4,1,H,05-08-24,5,8,0,15,5,3,1,1,1,1,1,0
2005-2006,24/08/05,Blackburn,Tottenham,0,0,D,05-08-24,5,8,3,33,0,0,0,0,0,0,0,1
2005-2006,24/08/05,Bolton,Newcastle,2,0,H,05-08-24,5,8,5,23,2,2,1,0,1,0,0,0
2005-2006,24/08/05,Chelsea,West Brom,4,0,H,05-08-24,5,8,11,35,4,4,1,1,1,1,0,0
2005-2006,27/08/05,Aston Villa,Blackburn,1,0,H,05-08-27,5,8,1,3,1,1,1,0,0,0,0,0
2005-2006,27/08/05,Fulham,Everton,1,0,H,05-08-27,5,8,15,14,1,1,1,0,0,0,0,0
2005-2006,27/08/05,Man City,Portsmouth,2,1,H,05-08-27,5,8,20,25,3,1,1,1,1,0,1,0
2005-2006,27/08/05,Tottenham,Chelsea,0,2,A,05-08-27,5,8,33,11,2,-2,0,0,1,0,0,2
2005-2006,27/08/05,West Brom,Birmingham,2,3,A,05-08-27,5,8,35,2,5,-1,0,1,1,1,1,2
2005-2006,27/08/05,West Ham,Bolton,1,2,A,05-08-27,5,8,36,5,3,-1,0,1,1,0,1,2
2005-2006,27/08/05,Wigan,Sunderland,1,0,H,05-08-27,5,8,37,31,1,1,1,0,0,0,0,0
2005-2006,28/08/05,Middlesbrough,Charlton,0,3,A,05-08-28,5,8,22,10,3,-3,0,1,1,0,0,2
2005-2006,28/08/05,Newcastle,Man United,0,2,A,05-08-28,5,8,23,21,2,-2,0,0,1,0,0,2
2005-2006,17/09/05,Aston Villa,Tottenham,1,1,D,05-09-17,5,9,1,33,2,0,0,0,1,0,1,1
2005-2006,17/09/05,Charlton,Chelsea,0,2,A,05-09-17,5,9,10,11,2,-2,0,0,1,0,0,2
2005-2006,17/09/05,Fulham,West Ham,1,2,A,05-09-17,5,9,15,36,3,-1,0,1,1,0,1,2
2005-2006,17/09/05,Portsmouth,Birmingham,1,1,D,05-09-17,5,9,25,2,2,0,0,0,1,0,1,1
2005-2006,17/09/05,Sunderland,West Brom,1,1,D,05-09-17,5,9,31,35,2,0,0,0,1,0,1,1
2005-2006,18/09/05,Blackburn,Newcastle,0,3,A,05-09-18,5,9,3,23,3,-3,0,1,1,0,0,2
2005-2006,18/09/05,Liverpool,Man United,0,0,D,05-09-18,5,9,19,21,0,0,0,0,0,0,0,1
2005-2006,18/09/05,Man City,Bolton,0,1,A,05-09-18,5,9,20,5,1,-1,0,0,0,0,0,2
2005-2006,18/09/05,Wigan,Middlesbrough,1,1,D,05-09-18,5,9,37,22,2,0,0,0,1,0,1,1
2005-2006,19/09/05,Arsenal,Everton,2,0,H,05-09-19,5,9,0,14,2,2,1,0,1,0,0,0
2005-2006,24/09/05,Birmingham,Liverpool,2,2,D,05-09-24,5,9,2,19,4,0,0,1,1,1,1,1
2005-2006,24/09/05,Bolton,Portsmouth,1,0,H,05-09-24,5,9,5,25,1,1,1,0,0,0,0,0
2005-2006,24/09/05,Chelsea,Aston Villa,2,1,H,05-09-24,5,9,11,1,3,1,1,1,1,0,1,0
2005-2006,24/09/05,Everton,Wigan,0,1,A,05-09-24,5,9,14,37,1,-1,0,0,0,0,0,2
2005-2006,24/09/05,Man United,Blackburn,1,2,A,05-09-24,5,9,21,3,3,-1,0,1,1,0,1,2
2005-2006,24/09/05,Newcastle,Man City,1,0,H,05-09-24,5,9,23,20,1,1,1,0,0,0,0,0
2005-2006,24/09/05,West Brom,Charlton,1,2,A,05-09-24,5,9,35,10,3,-1,0,1,1,0,1,2
2005-2006,24/09/05,West Ham,Arsenal,0,0,D,05-09-24,5,9,36,0,0,0,0,0,0,0,0,1
2005-2006,25/09/05,Middlesbrough,Sunderland,0,2,A,05-09-25,5,9,22,31,2,-2,0,0,1,0,0,2
2005-2006,26/09/05,Tottenham,Fulham,1,0,H,05-09-26,5,9,33,15,1,1,1,0,0,0,0,0
2005-2006,15/10/05,Chelsea,Bolton,5,1,H,05-10-15,5,10,11,5,6,4,1,1,1,1,1,0
2005-2006,15/10/05,Liverpool,Blackburn,1,0,H,05-10-15,5,10,19,3,1,1,1,0,0,0,0,0
2005-2006,15/10/05,Middlesbrough,Portsmouth,1,1,D,05-10-15,5,10,22,25,2,0,0,0,1,0,1,1
2005-2006,15/10/05,Sunderland,Man United,1,3,A,05-10-15,5,10,31,21,4,-2,0,1,1,1,1,2
2005-2006,15/10/05,Tottenham,Everton,2,0,H,05-10-15,5,10,33,14,2,2,1,0,1,0,0,0
2005-2006,15/10/05,West Brom,Arsenal,2,1,H,05-10-15,5,10,35,0,3,1,1,1,1,0,1,0
2005-2006,15/10/05,Wigan,Newcastle,1,0,H,05-10-15,5,10,37,23,1,1,1,0,0,0,0,0
2005-2006,16/10/05,Birmingham,Aston Villa,0,1,A,05-10-16,5,10,2,1,1,-1,0,0,0,0,0,2
2005-2006,16/10/05,Man City,West Ham,2,1,H,05-10-16,5,10,20,36,3,1,1,1,1,0,1,0
2005-2006,17/10/05,Charlton,Fulham,1,1,D,05-10-17,5,10,10,15,2,0,0,0,1,0,1,1
2005-2006,22/10/05,Arsenal,Man City,1,0,H,05-10-22,5,10,0,20,1,1,1,0,0,0,0,0
2005-2006,22/10/05,Aston Villa,Wigan,0,2,A,05-10-22,5,10,1,37,2,-2,0,0,1,0,0,2
2005-2006,22/10/05,Blackburn,Birmingham,2,0,H,05-10-22,5,10,3,2,2,2,1,0,1,0,0,0
2005-2006,22/10/05,Fulham,Liverpool,2,0,H,05-10-22,5,10,15,19,2,2,1,0,1,0,0,0
2005-2006,22/10/05,Man United,Tottenham,1,1,D,05-10-22,5,10,21,33,2,0,0,0,1,0,1,1
2005-2006,22/10/05,Portsmouth,Charlton,1,2,A,05-10-22,5,10,25,10,3,-1,0,1,1,0,1,2
2005-2006,23/10/05,Bolton,West Brom,2,0,H,05-10-23,5,10,5,35,2,2,1,0,1,0,0,0
2005-2006,23/10/05,Everton,Chelsea,1,1,D,05-10-23,5,10,14,11,2,0,0,0,1,0,1,1
2005-2006,23/10/05,Newcastle,Sunderland,3,2,H,05-10-23,5,10,23,31,5,1,1,1,1,1,1,0
2005-2006,23/10/05,West Ham,Middlesbrough,2,1,H,05-10-23,5,10,36,22,3,1,1,1,1,0,1,0
2005-2006,29/10/05,Birmingham,Everton,0,1,A,05-10-29,5,10,2,14,1,-1,0,0,0,0,0,2
2005-2006,29/10/05,Charlton,Bolton,0,1,A,05-10-29,5,10,10,5,1,-1,0,0,0,0,0,2
2005-2006,29/10/05,Chelsea,Blackburn,4,2,H,05-10-29,5,10,11,3,6,2,1,1,1,1,1,0
2005-2006,29/10/05,Liverpool,West Ham,2,0,H,05-10-29,5,10,19,36,2,2,1,0,1,0,0,0
2005-2006,29/10/05,Middlesbrough,Man United,4,1,H,05-10-29,5,10,22,21,5,3,1,1,1,1,1,0
2005-2006,29/10/05,Sunderland,Portsmouth,1,4,A,05-10-29,5,10,31,25,5,-3,0,1,1,1,1,2
2005-2006,29/10/05,Tottenham,Arsenal,1,1,D,05-10-29,5,10,33,0,2,0,0,0,1,0,1,1
2005-2006,29/10/05,Wigan,Fulham,1,0,H,05-10-29,5,10,37,15,1,1,1,0,0,0,0,0
2005-2006,30/10/05,West Brom,Newcastle,0,3,A,05-10-30,5,10,35,23,3,-3,0,1,1,0,0,2
2005-2006,31/10/05,Man City,Aston Villa,3,1,H,05-10-31,5,10,20,1,4,2,1,1,1,1,1,0
2005-2006,19/11/05,Charlton,Man United,1,3,A,05-11-19,5,11,10,21,4,-2,0,1,1,1,1,2
2005-2006,19/11/05,Chelsea,Newcastle,3,0,H,05-11-19,5,11,11,23,3,3,1,1,1,0,0,0
2005-2006,19/11/05,Liverpool,Portsmouth,3,0,H,05-11-19,5,11,19,25,3,3,1,1,1,0,0,0
2005-2006,19/11/05,Man City,Blackburn,0,0,D,05-11-19,5,11,20,3,0,0,0,0,0,0,0,1
2005-2006,19/11/05,Sunderland,Aston Villa,1,3,A,05-11-19,5,11,31,1,4,-2,0,1,1,1,1,2
2005-2006,19/11/05,West Brom,Everton,4,0,H,05-11-19,5,11,35,14,4,4,1,1,1,1,0,0
2005-2006,19/11/05,Wigan,Arsenal,2,3,A,05-11-19,5,11,37,0,5,-1,0,1,1,1,1,2
2005-2006,20/11/05,Middlesbrough,Fulham,3,2,H,05-11-20,5,11,22,15,5,1,1,1,1,1,1,0
2005-2006,20/11/05,Tottenham,West Ham,1,1,D,05-11-20,5,11,33,36,2,0,0,0,1,0,1,1
2005-2006,26/11/05,Arsenal,Blackburn,3,0,H,05-11-26,5,11,0,3,3,3,1,1,1,0,0,0
2005-2006,26/11/05,Aston Villa,Charlton,1,0,H,05-11-26,5,11,1,10,1,1,1,0,0,0,0,0
2005-2006,26/11/05,Man City,Liverpool,0,1,A,05-11-26,5,11,20,19,1,-1,0,0,0,0,0,2
2005-2006,26/11/05,Portsmouth,Chelsea,0,2,A,05-11-26,5,11,25,11,2,-2,0,0,1,0,0,2
2005-2006,26/11/05,Sunderland,Birmingham,0,1,A,05-11-26,5,11,31,2,1,-1,0,0,0,0,0,2
2005-2006,26/11/05,Wigan,Tottenham,1,2,A,05-11-26,5,11,37,33,3,-1,0,1,1,0,1,2
2005-2006,27/11/05,Everton,Newcastle,1,0,H,05-11-27,5,11,14,23,1,1,1,0,0,0,0,0
2005-2006,27/11/05,Fulham,Bolton,2,1,H,05-11-27,5,11,15,5,3,1,1,1,1,0,1,0
2005-2006,27/11/05,Middlesbrough,West Brom,2,2,D,05-11-27,5,11,22,35,4,0,0,1,1,1,1,1
2005-2006,27/11/05,West Ham,Man United,1,2,A,05-11-27,5,11,36,21,3,-1,0,1,1,0,1,2
2005-2006,30/11/05,Sunderland,Liverpool,0,2,A,05-11-30,5,11,31,19,2,-2,0,0,1,0,0,2
2005-2006,14/12/05,Everton,West Ham,1,2,A,05-12-14,5,12,14,36,3,-1,0,1,1,0,1,2
2005-2006,14/12/05,Man United,Wigan,4,0,H,05-12-14,5,12,21,37,4,4,1,1,1,1,0,0
2005-2006,17/12/05,Aston Villa,Man United,0,2,A,05-12-17,5,12,1,21,2,-2,0,0,1,0,0,2
2005-2006,17/12/05,Everton,Bolton,0,4,A,05-12-17,5,12,14,5,4,-4,0,1,1,1,0,2
2005-2006,17/12/05,Fulham,Blackburn,2,1,H,05-12-17,5,12,15,3,3,1,1,1,1,0,1,0
2005-2006,17/12/05,Man City,Birmingham,4,1,H,05-12-17,5,12,20,2,5,3,1,1,1,1,1,0
2005-2006,17/12/05,Portsmouth,West Brom,1,0,H,05-12-17,5,12,25,35,1,1,1,0,0,0,0,0
2005-2006,17/12/05,West Ham,Newcastle,2,4,A,05-12-17,5,12,36,23,6,-2,0,1,1,1,1,2
2005-2006,17/12/05,Wigan,Charlton,3,0,H,05-12-17,5,12,37,10,3,3,1,1,1,0,0,0
2005-2006,18/12/05,Arsenal,Chelsea,0,2,A,05-12-18,5,12,0,11,2,-2,0,0,1,0,0,2
2005-2006,18/12/05,Middlesbrough,Tottenham,3,3,D,05-12-18,5,12,22,33,6,0,0,1,1,1,1,1
2005-2006,26/12/05,Aston Villa,Everton,4,0,H,05-12-26,5,12,1,14,4,4,1,1,1,1,0,0
2005-2006,26/12/05,Charlton,Arsenal,0,1,A,05-12-26,5,12,10,0,1,-1,0,0,0,0,0,2
2005-2006,26/12/05,Chelsea,Fulham,3,2,H,05-12-26,5,12,11,15,5,1,1,1,1,1,1,0
2005-2006,26/12/05,Liverpool,Newcastle,2,0,H,05-12-26,5,12,19,23,2,2,1,0,1,0,0,0
2005-2006,26/12/05,Man United,West Brom,3,0,H,05-12-26,5,12,21,35,3,3,1,1,1,0,0,0
2005-2006,26/12/05,Middlesbrough,Blackburn,0,2,A,05-12-26,5,12,22,3,2,-2,0,0,1,0,0,2
2005-2006,26/12/05,Portsmouth,West Ham,1,1,D,05-12-26,5,12,25,36,2,0,0,0,1,0,1,1
2005-2006,26/12/05,Sunderland,Bolton,0,0,D,05-12-26,5,12,31,5,0,0,0,0,0,0,0,1
2005-2006,26/12/05,Tottenham,Birmingham,2,0,H,05-12-26,5,12,33,2,2,2,1,0,1,0,0,0
2005-2006,26/12/05,Wigan,Man City,4,3,H,05-12-26,5,12,37,20,7,1,1,1,1,1,1,0
2005-2006,28/12/05,Arsenal,Portsmouth,4,0,H,05-12-28,5,12,0,25,4,4,1,1,1,1,0,0
2005-2006,28/12/05,Birmingham,Man United,2,2,D,05-12-28,5,12,2,21,4,0,0,1,1,1,1,1
2005-2006,28/12/05,Everton,Liverpool,1,3,A,05-12-28,5,12,14,19,4,-2,0,1,1,1,1,2
2005-2006,28/12/05,Fulham,Aston Villa,3,3,D,05-12-28,5,12,15,1,6,0,0,1,1,1,1,1
2005-2006,28/12/05,Man City,Chelsea,0,1,A,05-12-28,5,12,20,11,1,-1,0,0,0,0,0,2
2005-2006,28/12/05,West Brom,Tottenham,2,0,H,05-12-28,5,12,35,33,2,2,1,0,1,0,0,0
2005-2006,28/12/05,West Ham,Wigan,0,2,A,05-12-28,5,12,36,37,2,-2,0,0,1,0,0,2
2005-2006,31/12/05,Aston Villa,Arsenal,0,0,D,05-12-31,5,12,1,0,0,0,0,0,0,0,0,1
2005-2006,31/12/05,Charlton,West Ham,2,0,H,05-12-31,5,12,10,36,2,2,1,0,1,0,0,0
2005-2006,31/12/05,Chelsea,Birmingham,2,0,H,05-12-31,5,12,11,2,2,2,1,0,1,0,0,0
2005-2006,31/12/05,Liverpool,West Brom,1,0,H,05-12-31,5,12,19,35,1,1,1,0,0,0,0,0
2005-2006,31/12/05,Man United,Bolton,4,1,H,05-12-31,5,12,21,5,5,3,1,1,1,1,1,0
2005-2006,31/12/05,Middlesbrough,Man City,0,0,D,05-12-31,5,12,22,20,0,0,0,0,0,0,0,1
2005-2006,31/12/05,Portsmouth,Fulham,1,0,H,05-12-31,5,12,25,15,1,1,1,0,0,0,0,0
2005-2006,31/12/05,Sunderland,Everton,0,1,A,05-12-31,5,12,31,14,1,-1,0,0,0,0,0,2
2005-2006,31/12/05,Tottenham,Newcastle,2,0,H,05-12-31,5,12,33,23,2,2,1,0,1,0,0,0
2005-2006,31/12/05,Wigan,Blackburn,0,3,A,05-12-31,5,12,37,3,3,-3,0,1,1,0,0,2
2005-2006,14/01/06,Arsenal,Middlesbrough,7,0,H,06-01-14,6,1,0,22,7,7,1,1,1,1,0,0
2005-2006,14/01/06,Aston Villa,West Ham,1,2,A,06-01-14,6,1,1,36,3,-1,0,1,1,0,1,2
2005-2006,14/01/06,Blackburn,Bolton,0,0,D,06-01-14,6,1,3,5,0,0,0,0,0,0,0,1
2005-2006,14/01/06,Charlton,Birmingham,2,0,H,06-01-14,6,1,10,2,2,2,1,0,1,0,0,0
2005-2006,14/01/06,Fulham,Newcastle,1,0,H,06-01-14,6,1,15,23,1,1,1,0,0,0,0,0
2005-2006,14/01/06,Liverpool,Tottenham,1,0,H,06-01-14,6,1,19,33,1,1,1,0,0,0,0,0
2005-2006,14/01/06,Man City,Man United,3,1,H,06-01-14,6,1,20,21,4,2,1,1,1,1,1,0
2005-2006,14/01/06,Portsmouth,Everton,0,1,A,06-01-14,6,1,25,14,1,-1,0,0,0,0,0,2
2005-2006,15/01/06,Sunderland,Chelsea,1,2,A,06-01-15,6,1,31,11,3,-1,0,1,1,0,1,2
2005-2006,15/01/06,Wigan,West Brom,0,1,A,06-01-15,6,1,37,35,1,-1,0,0,0,0,0,2
2005-2006,21/01/06,Birmingham,Portsmouth,5,0,H,06-01-21,6,1,2,25,5,5,1,1,1,1,0,0
2005-2006,21/01/06,Bolton,Man City,2,0,H,06-01-21,6,1,5,20,2,2,1,0,1,0,0,0
2005-2006,21/01/06,Everton,Arsenal,1,0,H,06-01-21,6,1,14,0,1,1,1,0,0,0,0,0
2005-2006,21/01/06,Middlesbrough,Wigan,2,3,A,06-01-21,6,1,22,37,5,-1,0,1,1,1,1,2
2005-2006,21/01/06,Newcastle,Blackburn,0,1,A,06-01-21,6,1,23,3,1,-1,0,0,0,0,0,2
2005-2006,21/01/06,Tottenham,Aston Villa,0,0,D,06-01-21,6,1,33,1,0,0,0,0,0,0,0,1
2005-2006,21/01/06,West Brom,Sunderland,0,1,A,06-01-21,6,1,35,31,1,-1,0,0,0,0,0,2
2005-2006,22/01/06,Chelsea,Charlton,1,1,D,06-01-22,6,1,11,10,2,0,0,0,1,0,1,1
2005-2006,22/01/06,Man United,Liverpool,1,0,H,06-01-22,6,1,21,19,1,1,1,0,0,0,0,0
2005-2006,23/01/06,West Ham,Fulham,2,1,H,06-01-23,6,1,36,15,3,1,1,1,1,0,1,0
2005-2006,31/01/06,Charlton,West Brom,0,0,D,06-01-31,6,1,10,35,0,0,0,0,0,0,0,1
2005-2006,31/01/06,Fulham,Tottenham,1,0,H,06-01-31,6,1,15,33,1,1,1,0,0,0,0,0
2005-2006,31/01/06,Sunderland,Middlesbrough,0,3,A,06-01-31,6,1,31,22,3,-3,0,1,1,0,0,2
2005-2006,31/01/06,Wigan,Everton,1,1,D,06-01-31,6,1,37,14,2,0,0,0,1,0,1,1
2005-2006,13/02/06,West Ham,Birmingham,3,0,H,06-02-13,6,2,36,2,3,3,1,1,1,0,0,0
2005-2006,14/02/06,Liverpool,Arsenal,1,0,H,06-02-14,6,2,19,0,1,1,1,0,0,0,0,0
2005-2006,15/02/06,Blackburn,Sunderland,2,0,H,06-02-15,6,2,3,31,2,2,1,0,1,0,0,0
2005-2006,19/02/06,Tottenham,Wigan,2,2,D,06-02-19,6,2,33,37,4,0,0,1,1,1,1,1
2005-2006,22/02/06,Newcastle,Charlton,0,0,D,06-02-22,6,2,23,10,0,0,0,0,0,0,0,1
2005-2006,25/02/06,Birmingham,Sunderland,1,0,H,06-02-25,6,2,2,31,1,1,1,0,0,0,0,0
2005-2006,25/02/06,Blackburn,Arsenal,1,0,H,06-02-25,6,2,3,0,1,1,1,0,0,0,0,0
2005-2006,25/02/06,Charlton,Aston Villa,0,0,D,06-02-25,6,2,10,1,0,0,0,0,0,0,0,1
2005-2006,25/02/06,Chelsea,Portsmouth,2,0,H,06-02-25,6,2,11,25,2,2,1,0,1,0,0,0
2005-2006,25/02/06,Newcastle,Everton,2,0,H,06-02-25,6,2,23,14,2,2,1,0,1,0,0,0
2005-2006,26/02/06,Bolton,Fulham,2,1,H,06-02-26,6,2,5,15,3,1,1,1,1,0,1,0
2005-2006,26/02/06,Liverpool,Man City,1,0,H,06-02-26,6,2,19,20,1,1,1,0,0,0,0,0
2005-2006,26/02/06,West Brom,Middlesbrough,0,2,A,06-02-26,6,2,35,22,2,-2,0,0,1,0,0,2
2005-2006,15/03/06,Liverpool,Fulham,5,1,H,06-03-15,6,3,19,15,6,4,1,1,1,1,1,0
2005-2006,18/03/06,Arsenal,Charlton,3,0,H,06-03-18,6,3,0,10,3,3,1,1,1,0,0,0
2005-2006,18/03/06,Birmingham,Tottenham,0,2,A,06-03-18,6,3,2,33,2,-2,0,0,1,0,0,2
2005-2006,18/03/06,Blackburn,Middlesbrough,3,2,H,06-03-18,6,3,3,22,5,1,1,1,1,1,1,0
2005-2006,18/03/06,Bolton,Sunderland,2,0,H,06-03-18,6,3,5,31,2,2,1,0,1,0,0,0
2005-2006,18/03/06,Everton,Aston Villa,4,1,H,06-03-18,6,3,14,1,5,3,1,1,1,1,1,0
2005-2006,18/03/06,Man City,Wigan,0,1,A,06-03-18,6,3,20,37,1,-1,0,0,0,0,0,2
2005-2006,18/03/06,West Brom,Man United,1,2,A,06-03-18,6,3,35,21,3,-1,0,1,1,0,1,2
2005-2006,18/03/06,West Ham,Portsmouth,2,4,A,06-03-18,6,3,36,25,6,-2,0,1,1,1,1,2
2005-2006,19/03/06,Fulham,Chelsea,1,0,H,06-03-19,6,3,15,11,1,1,1,0,0,0,0,0
2005-2006,19/03/06,Newcastle,Liverpool,1,3,A,06-03-19,6,3,23,19,4,-2,0,1,1,1,1,2
2005-2006,25/03/06,Aston Villa,Fulham,0,0,D,06-03-25,6,3,1,15,0,0,0,0,0,0,0,1
2005-2006,25/03/06,Chelsea,Man City,2,0,H,06-03-25,6,3,11,20,2,2,1,0,1,0,0,0
2005-2006,25/03/06,Liverpool,Everton,3,1,H,06-03-25,6,3,19,14,4,2,1,1,1,1,1,0
2005-2006,25/03/06,Sunderland,Blackburn,0,1,A,06-03-25,6,3,31,3,1,-1,0,0,0,0,0,2
2005-2006,25/03/06,Wigan,West Ham,1,2,A,06-03-25,6,3,37,36,3,-1,0,1,1,0,1,2
2005-2006,26/03/06,Charlton,Newcastle,3,1,H,06-03-26,6,3,10,23,4,2,1,1,1,1,1,0
2005-2006,26/03/06,Man United,Birmingham,3,0,H,06-03-26,6,3,21,2,3,3,1,1,1,0,0,0
2005-2006,26/03/06,Middlesbrough,Bolton,4,3,H,06-03-26,6,3,22,5,7,1,1,1,1,1,1,0
2005-2006,27/03/06,Tottenham,West Brom,2,1,H,06-03-27,6,3,33,35,3,1,1,1,1,0,1,0
2005-2006,29/03/06,Man United,West Ham,1,0,H,06-03-29,6,3,21,36,1,1,1,0,0,0,0,0
2005-2006,14/04/06,Man United,Sunderland,0,0,D,06-04-14,6,4,21,31,0,0,0,0,0,0,0,1
2005-2006,15/04/06,Arsenal,West Brom,3,1,H,06-04-15,6,4,0,35,4,2,1,1,1,1,1,0
2005-2006,15/04/06,Bolton,Chelsea,0,2,A,06-04-15,6,4,5,11,2,-2,0,0,1,0,0,2
2005-2006,15/04/06,Everton,Tottenham,0,1,A,06-04-15,6,4,14,33,1,-1,0,0,0,0,0,2
2005-2006,15/04/06,Fulham,Charlton,2,1,H,06-04-15,6,4,15,10,3,1,1,1,1,0,1,0
2005-2006,15/04/06,Newcastle,Wigan,3,1,H,06-04-15,6,4,23,37,4,2,1,1,1,1,1,0
2005-2006,15/04/06,Portsmouth,Middlesbrough,1,0,H,06-04-15,6,4,25,22,1,1,1,0,0,0,0,0
2005-2006,15/04/06,West Ham,Man City,1,0,H,06-04-15,6,4,36,20,1,1,1,0,0,0,0,0
2005-2006,16/04/06,Aston Villa,Birmingham,3,1,H,06-04-16,6,4,1,2,4,2,1,1,1,1,1,0
2005-2006,16/04/06,Blackburn,Liverpool,0,1,A,06-04-16,6,4,3,19,1,-1,0,0,0,0,0,2
2005-2006,17/04/06,Charlton,Portsmouth,2,1,H,06-04-17,6,4,10,25,3,1,1,1,1,0,1,0
2005-2006,17/04/06,Chelsea,Everton,3,0,H,06-04-17,6,4,11,14,3,3,1,1,1,0,0,0
2005-2006,17/04/06,Middlesbrough,West Ham,2,0,H,06-04-17,6,4,22,36,2,2,1,0,1,0,0,0
2005-2006,17/04/06,Sunderland,Newcastle,1,4,A,06-04-17,6,4,31,23,5,-3,0,1,1,1,1,2
2005-2006,17/04/06,Tottenham,Man United,1,2,A,06-04-17,6,4,33,21,3,-1,0,1,1,0,1,2
2005-2006,17/04/06,West Brom,Bolton,0,0,D,06-04-17,6,4,35,5,0,0,0,0,0,0,0,1
2005-2006,18/04/06,Wigan,Aston Villa,3,2,H,06-04-18,6,4,37,1,5,1,1,1,1,1,1,0
2005-2006,19/04/06,Birmingham,Blackburn,2,1,H,06-04-19,6,4,2,3,3,1,1,1,1,0,1,0
2005-2006,22/04/06,Arsenal,Tottenham,1,1,D,06-04-22,6,4,0,33,2,0,0,0,1,0,1,1
2005-2006,22/04/06,Bolton,Charlton,4,1,H,06-04-22,6,4,5,10,5,3,1,1,1,1,1,0
2005-2006,22/04/06,Everton,Birmingham,0,0,D,06-04-22,6,4,14,2,0,0,0,0,0,0,0,1
2005-2006,22/04/06,Newcastle,West Brom,3,0,H,06-04-22,6,4,23,35,3,3,1,1,1,0,0,0
2005-2006,22/04/06,Portsmouth,Sunderland,2,1,H,06-04-22,6,4,25,31,3,1,1,1,1,0,1,0
2005-2006,24/04/06,Fulham,Wigan,1,0,H,06-04-24,6,4,15,37,1,1,1,0,0,0,0,0
2005-2006,25/04/06,Aston Villa,Man City,0,1,A,06-04-25,6,4,1,20,1,-1,0,0,0,0,0,2
2005-2006,26/04/06,West Ham,Liverpool,1,2,A,06-04-26,6,4,36,19,3,-1,0,1,1,0,1,2
2005-2006,29/04/06,Birmingham,Newcastle,0,0,D,06-04-29,6,4,2,23,0,0,0,0,0,0,0,1
2005-2006,29/04/06,Charlton,Blackburn,0,2,A,06-04-29,6,4,10,3,2,-2,0,0,1,0,0,2
2005-2006,29/04/06,Chelsea,Man United,3,0,H,06-04-29,6,4,11,21,3,3,1,1,1,0,0,0
2005-2006,29/04/06,Liverpool,Aston Villa,3,1,H,06-04-29,6,4,19,1,4,2,1,1,1,1,1,0
2005-2006,29/04/06,Man City,Fulham,1,2,A,06-04-29,6,4,20,15,3,-1,0,1,1,0,1,2
